index,task,model,scorer,example_id,mean,min,max,example_prompt_sensitivity
45,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0045,1.0,1.0,1.0,0.0
46,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0046,1.0,1.0,1.0,0.0
47,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0047,1.0,1.0,1.0,0.0
48,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0048,1.0,1.0,1.0,0.0
49,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0049,1.0,1.0,1.0,0.0
50,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0050,1.0,1.0,1.0,0.0
51,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0051,1.0,1.0,1.0,0.0
52,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0052,1.0,1.0,1.0,0.0
53,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0053,1.0,1.0,1.0,0.0
54,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0054,1.0,1.0,1.0,0.0
55,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0055,1.0,1.0,1.0,0.0
56,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0056,1.0,1.0,1.0,0.0
57,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0057,1.0,1.0,1.0,0.0
58,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0058,1.0,1.0,1.0,0.0
59,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0059,1.0,1.0,1.0,0.0
60,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0060,1.0,1.0,1.0,0.0
61,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0061,1.0,1.0,1.0,0.0
62,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0062,1.0,1.0,1.0,0.0
63,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0063,1.0,1.0,1.0,0.0
64,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0064,1.0,1.0,1.0,0.0
65,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0065,1.0,1.0,1.0,0.0
66,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0066,1.0,1.0,1.0,0.0
67,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0067,1.0,1.0,1.0,0.0
68,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0068,1.0,1.0,1.0,0.0
69,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0069,1.0,1.0,1.0,0.0
70,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0070,1.0,1.0,1.0,0.0
71,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0071,1.0,1.0,1.0,0.0
72,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0072,1.0,1.0,1.0,0.0
73,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0073,1.0,1.0,1.0,0.0
74,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0074,1.0,1.0,1.0,0.0
75,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0075,1.0,1.0,1.0,0.0
76,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0076,1.0,1.0,1.0,0.0
77,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0077,1.0,1.0,1.0,0.0
78,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0078,1.0,1.0,1.0,0.0
79,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0079,1.0,1.0,1.0,0.0
80,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0080,1.0,1.0,1.0,0.0
81,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0081,1.0,1.0,1.0,0.0
82,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0082,1.0,1.0,1.0,0.0
83,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0083,1.0,1.0,1.0,0.0
84,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0084,1.0,1.0,1.0,0.0
85,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0085,1.0,1.0,1.0,0.0
86,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0086,1.0,1.0,1.0,0.0
87,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0087,1.0,1.0,1.0,0.0
88,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0088,1.0,1.0,1.0,0.0
89,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0089,1.0,1.0,1.0,0.0
90,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0090,1.0,1.0,1.0,0.0
91,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0091,1.0,1.0,1.0,0.0
92,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0092,1.0,1.0,1.0,0.0
93,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0093,1.0,1.0,1.0,0.0
94,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0094,1.0,1.0,1.0,0.0
95,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0095,1.0,1.0,1.0,0.0
96,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0096,1.0,1.0,1.0,0.0
97,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0097,0.875,0.0,1.0,1.0
98,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0098,1.0,1.0,1.0,0.0
99,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0099,1.0,1.0,1.0,0.0
100,gsm8k,gpt-5-mini,strict,gsm8k_0000,1.0,1.0,1.0,0.0
101,gsm8k,gpt-5-mini,strict,gsm8k_0001,1.0,1.0,1.0,0.0
102,gsm8k,gpt-5-mini,strict,gsm8k_0002,1.0,1.0,1.0,0.0
103,gsm8k,gpt-5-mini,strict,gsm8k_0003,0.0,0.0,0.0,0.0
104,gsm8k,gpt-5-mini,strict,gsm8k_0004,0.25,0.0,1.0,1.0
105,gsm8k,gpt-5-mini,strict,gsm8k_0005,1.0,1.0,1.0,0.0
106,gsm8k,gpt-5-mini,strict,gsm8k_0006,1.0,1.0,1.0,0.0
107,gsm8k,gpt-5-mini,strict,gsm8k_0007,1.0,1.0,1.0,0.0
108,gsm8k,gpt-5-mini,strict,gsm8k_0008,1.0,1.0,1.0,0.0
109,gsm8k,gpt-5-mini,strict,gsm8k_0009,1.0,1.0,1.0,0.0
110,gsm8k,gpt-5-mini,strict,gsm8k_0010,1.0,1.0,1.0,0.0
111,gsm8k,gpt-5-mini,strict,gsm8k_0011,1.0,1.0,1.0,0.0
112,gsm8k,gpt-5-mini,strict,gsm8k_0012,1.0,1.0,1.0,0.0
113,gsm8k,gpt-5-mini,strict,gsm8k_0013,1.0,1.0,1.0,0.0
114,gsm8k,gpt-5-mini,strict,gsm8k_0014,1.0,1.0,1.0,0.0
115,gsm8k,gpt-5-mini,strict,gsm8k_0015,0.0,0.0,0.0,0.0
116,gsm8k,gpt-5-mini,strict,gsm8k_0016,1.0,1.0,1.0,0.0
117,gsm8k,gpt-5-mini,strict,gsm8k_0017,1.0,1.0,1.0,0.0
118,gsm8k,gpt-5-mini,strict,gsm8k_0018,1.0,1.0,1.0,0.0
119,gsm8k,gpt-5-mini,strict,gsm8k_0019,1.0,1.0,1.0,0.0
120,gsm8k,gpt-5-mini,strict,gsm8k_0020,1.0,1.0,1.0,0.0
121,gsm8k,gpt-5-mini,strict,gsm8k_0021,0.0,0.0,0.0,0.0
122,gsm8k,gpt-5-mini,strict,gsm8k_0022,1.0,1.0,1.0,0.0
123,gsm8k,gpt-5-mini,strict,gsm8k_0023,1.0,1.0,1.0,0.0
124,gsm8k,gpt-5-mini,strict,gsm8k_0024,1.0,1.0,1.0,0.0
125,gsm8k,gpt-5-mini,strict,gsm8k_0025,0.375,0.0,1.0,1.0
126,gsm8k,gpt-5-mini,strict,gsm8k_0026,1.0,1.0,1.0,0.0
127,gsm8k,gpt-5-mini,strict,gsm8k_0027,1.0,1.0,1.0,0.0
128,gsm8k,gpt-5-mini,strict,gsm8k_0028,0.375,0.0,1.0,1.0
129,gsm8k,gpt-5-mini,strict,gsm8k_0029,1.0,1.0,1.0,0.0
130,gsm8k,gpt-5-mini,strict,gsm8k_0030,1.0,1.0,1.0,0.0
131,gsm8k,gpt-5-mini,strict,gsm8k_0031,0.0,0.0,0.0,0.0
132,gsm8k,gpt-5-mini,strict,gsm8k_0032,0.75,0.0,1.0,1.0
133,gsm8k,gpt-5-mini,strict,gsm8k_0033,1.0,1.0,1.0,0.0
134,gsm8k,gpt-5-mini,strict,gsm8k_0034,1.0,1.0,1.0,0.0
135,gsm8k,gpt-5-mini,strict,gsm8k_0035,1.0,1.0,1.0,0.0
136,gsm8k,gpt-5-mini,strict,gsm8k_0036,1.0,1.0,1.0,0.0
137,gsm8k,gpt-5-mini,strict,gsm8k_0037,1.0,1.0,1.0,0.0
138,gsm8k,gpt-5-mini,strict,gsm8k_0038,1.0,1.0,1.0,0.0
139,gsm8k,gpt-5-mini,strict,gsm8k_0039,1.0,1.0,1.0,0.0
140,gsm8k,gpt-5-mini,strict,gsm8k_0040,1.0,1.0,1.0,0.0
141,gsm8k,gpt-5-mini,strict,gsm8k_0041,1.0,1.0,1.0,0.0
142,gsm8k,gpt-5-mini,strict,gsm8k_0042,1.0,1.0,1.0,0.0
143,gsm8k,gpt-5-mini,strict,gsm8k_0043,1.0,1.0,1.0,0.0
144,gsm8k,gpt-5-mini,strict,gsm8k_0044,1.0,1.0,1.0,0.0
145,gsm8k,gpt-5-mini,strict,gsm8k_0045,1.0,1.0,1.0,0.0
146,gsm8k,gpt-5-mini,strict,gsm8k_0046,1.0,1.0,1.0,0.0
147,gsm8k,gpt-5-mini,strict,gsm8k_0047,1.0,1.0,1.0,0.0
148,gsm8k,gpt-5-mini,strict,gsm8k_0048,1.0,1.0,1.0,0.0
149,gsm8k,gpt-5-mini,strict,gsm8k_0049,1.0,1.0,1.0,0.0
150,gsm8k,gpt-5-mini,strict,gsm8k_0050,1.0,1.0,1.0,0.0
151,gsm8k,gpt-5-mini,strict,gsm8k_0051,1.0,1.0,1.0,0.0
152,gsm8k,gpt-5-mini,strict,gsm8k_0052,1.0,1.0,1.0,0.0
153,gsm8k,gpt-5-mini,strict,gsm8k_0053,1.0,1.0,1.0,0.0
154,gsm8k,gpt-5-mini,strict,gsm8k_0054,0.0,0.0,0.0,0.0
155,gsm8k,gpt-5-mini,strict,gsm8k_0055,1.0,1.0,1.0,0.0
156,gsm8k,gpt-5-mini,strict,gsm8k_0056,1.0,1.0,1.0,0.0
157,gsm8k,gpt-5-mini,strict,gsm8k_0057,1.0,1.0,1.0,0.0
158,gsm8k,gpt-5-mini,strict,gsm8k_0058,1.0,1.0,1.0,0.0
159,gsm8k,gpt-5-mini,strict,gsm8k_0059,1.0,1.0,1.0,0.0
160,gsm8k,gpt-5-mini,strict,gsm8k_0060,1.0,1.0,1.0,0.0
161,gsm8k,gpt-5-mini,strict,gsm8k_0061,1.0,1.0,1.0,0.0
162,gsm8k,gpt-5-mini,strict,gsm8k_0062,1.0,1.0,1.0,0.0
163,gsm8k,gpt-5-mini,strict,gsm8k_0063,1.0,1.0,1.0,0.0
164,gsm8k,gpt-5-mini,strict,gsm8k_0064,1.0,1.0,1.0,0.0
165,gsm8k,gpt-5-mini,strict,gsm8k_0065,1.0,1.0,1.0,0.0
166,gsm8k,gpt-5-mini,strict,gsm8k_0066,1.0,1.0,1.0,0.0
167,gsm8k,gpt-5-mini,strict,gsm8k_0067,1.0,1.0,1.0,0.0
168,gsm8k,gpt-5-mini,strict,gsm8k_0068,1.0,1.0,1.0,0.0
169,gsm8k,gpt-5-mini,strict,gsm8k_0069,1.0,1.0,1.0,0.0
170,gsm8k,gpt-5-mini,strict,gsm8k_0070,1.0,1.0,1.0,0.0
171,gsm8k,gpt-5-mini,strict,gsm8k_0071,1.0,1.0,1.0,0.0
172,gsm8k,gpt-5-mini,strict,gsm8k_0072,1.0,1.0,1.0,0.0
173,gsm8k,gpt-5-mini,strict,gsm8k_0073,1.0,1.0,1.0,0.0
174,gsm8k,gpt-5-mini,strict,gsm8k_0074,1.0,1.0,1.0,0.0
175,gsm8k,gpt-5-mini,strict,gsm8k_0075,1.0,1.0,1.0,0.0
176,gsm8k,gpt-5-mini,strict,gsm8k_0076,1.0,1.0,1.0,0.0
177,gsm8k,gpt-5-mini,strict,gsm8k_0077,1.0,1.0,1.0,0.0
178,gsm8k,gpt-5-mini,strict,gsm8k_0078,1.0,1.0,1.0,0.0
179,gsm8k,gpt-5-mini,strict,gsm8k_0079,1.0,1.0,1.0,0.0
180,gsm8k,gpt-5-mini,strict,gsm8k_0080,1.0,1.0,1.0,0.0
181,gsm8k,gpt-5-mini,strict,gsm8k_0081,1.0,1.0,1.0,0.0
182,gsm8k,gpt-5-mini,strict,gsm8k_0082,1.0,1.0,1.0,0.0
183,gsm8k,gpt-5-mini,strict,gsm8k_0083,1.0,1.0,1.0,0.0
184,gsm8k,gpt-5-mini,strict,gsm8k_0084,1.0,1.0,1.0,0.0
185,gsm8k,gpt-5-mini,strict,gsm8k_0085,0.75,0.0,1.0,1.0
186,gsm8k,gpt-5-mini,strict,gsm8k_0086,0.875,0.0,1.0,1.0
187,gsm8k,gpt-5-mini,strict,gsm8k_0087,1.0,1.0,1.0,0.0
188,gsm8k,gpt-5-mini,strict,gsm8k_0088,1.0,1.0,1.0,0.0
189,gsm8k,gpt-5-mini,strict,gsm8k_0089,1.0,1.0,1.0,0.0
190,gsm8k,gpt-5-mini,strict,gsm8k_0090,1.0,1.0,1.0,0.0
191,gsm8k,gpt-5-mini,strict,gsm8k_0091,1.0,1.0,1.0,0.0
192,gsm8k,gpt-5-mini,strict,gsm8k_0092,1.0,1.0,1.0,0.0
193,gsm8k,gpt-5-mini,strict,gsm8k_0093,1.0,1.0,1.0,0.0
194,gsm8k,gpt-5-mini,strict,gsm8k_0094,1.0,1.0,1.0,0.0
195,gsm8k,gpt-5-mini,strict,gsm8k_0095,1.0,1.0,1.0,0.0
196,gsm8k,gpt-5-mini,strict,gsm8k_0096,1.0,1.0,1.0,0.0
197,gsm8k,gpt-5-mini,strict,gsm8k_0097,0.75,0.0,1.0,1.0
198,gsm8k,gpt-5-mini,strict,gsm8k_0098,0.0,0.0,0.0,0.0
199,gsm8k,gpt-5-mini,strict,gsm8k_0099,1.0,1.0,1.0,0.0
200,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0000,1.0,1.0,1.0,0.0
201,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0001,1.0,1.0,1.0,0.0
202,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0002,1.0,1.0,1.0,0.0
203,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0003,0.625,0.0,1.0,1.0
204,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0004,1.0,1.0,1.0,0.0
205,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0005,1.0,1.0,1.0,0.0
206,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0006,1.0,1.0,1.0,0.0
207,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0007,1.0,1.0,1.0,0.0
208,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0008,1.0,1.0,1.0,0.0
209,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0009,1.0,1.0,1.0,0.0
210,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0010,1.0,1.0,1.0,0.0
211,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0011,0.875,0.0,1.0,1.0
212,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0012,1.0,1.0,1.0,0.0
213,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0013,1.0,1.0,1.0,0.0
214,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0014,1.0,1.0,1.0,0.0
215,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0015,0.0,0.0,0.0,0.0
216,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0016,1.0,1.0,1.0,0.0
217,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0017,1.0,1.0,1.0,0.0
218,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0018,1.0,1.0,1.0,0.0
219,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0019,1.0,1.0,1.0,0.0
220,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0020,1.0,1.0,1.0,0.0
221,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0021,1.0,1.0,1.0,0.0
222,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0022,1.0,1.0,1.0,0.0
223,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0023,1.0,1.0,1.0,0.0
224,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0024,1.0,1.0,1.0,0.0
225,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0025,0.25,0.0,1.0,1.0
226,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0026,1.0,1.0,1.0,0.0
227,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0027,1.0,1.0,1.0,0.0
228,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0028,1.0,1.0,1.0,0.0
229,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0029,1.0,1.0,1.0,0.0
230,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0030,1.0,1.0,1.0,0.0
231,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0031,0.625,0.0,1.0,1.0
232,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0032,1.0,1.0,1.0,0.0
233,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0033,1.0,1.0,1.0,0.0
234,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0034,1.0,1.0,1.0,0.0
235,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0035,1.0,1.0,1.0,0.0
236,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0036,0.875,0.0,1.0,1.0
237,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0037,1.0,1.0,1.0,0.0
238,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0038,1.0,1.0,1.0,0.0
239,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0039,1.0,1.0,1.0,0.0
240,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0040,1.0,1.0,1.0,0.0
241,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0041,1.0,1.0,1.0,0.0
242,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0042,1.0,1.0,1.0,0.0
243,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0043,1.0,1.0,1.0,0.0
244,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0044,1.0,1.0,1.0,0.0
245,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0045,1.0,1.0,1.0,0.0
246,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0046,1.0,1.0,1.0,0.0
247,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0047,1.0,1.0,1.0,0.0
248,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0048,1.0,1.0,1.0,0.0
249,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0049,1.0,1.0,1.0,0.0
250,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0050,0.75,0.0,1.0,1.0
251,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0051,1.0,1.0,1.0,0.0
252,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0052,1.0,1.0,1.0,0.0
253,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0053,1.0,1.0,1.0,0.0
254,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0054,1.0,1.0,1.0,0.0
255,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0055,1.0,1.0,1.0,0.0
256,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0056,1.0,1.0,1.0,0.0
257,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0057,0.875,0.0,1.0,1.0
258,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0058,1.0,1.0,1.0,0.0
259,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0059,1.0,1.0,1.0,0.0
260,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0060,1.0,1.0,1.0,0.0
261,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0061,1.0,1.0,1.0,0.0
262,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0062,1.0,1.0,1.0,0.0
263,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0063,1.0,1.0,1.0,0.0
264,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0064,1.0,1.0,1.0,0.0
265,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0065,1.0,1.0,1.0,0.0
266,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0066,1.0,1.0,1.0,0.0
267,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0067,1.0,1.0,1.0,0.0
268,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0068,1.0,1.0,1.0,0.0
269,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0069,1.0,1.0,1.0,0.0
270,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0070,1.0,1.0,1.0,0.0
271,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0071,1.0,1.0,1.0,0.0
272,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0072,1.0,1.0,1.0,0.0
273,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0073,1.0,1.0,1.0,0.0
274,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0074,1.0,1.0,1.0,0.0
275,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0075,1.0,1.0,1.0,0.0
276,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0076,1.0,1.0,1.0,0.0
277,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0077,1.0,1.0,1.0,0.0
278,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0078,1.0,1.0,1.0,0.0
279,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0079,1.0,1.0,1.0,0.0
280,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0080,1.0,1.0,1.0,0.0
281,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0081,1.0,1.0,1.0,0.0
282,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0082,1.0,1.0,1.0,0.0
283,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0083,1.0,1.0,1.0,0.0
284,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0084,1.0,1.0,1.0,0.0
285,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0085,1.0,1.0,1.0,0.0
286,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0086,1.0,1.0,1.0,0.0
287,gsm8k,gpt-5-nano,equivalence_aware,gsm8k_0087,1.0,1.0,1.0,0.0
